phrase_number,category,tags
1567,places,"Hopoe, Hawai'i"
1568,places,Hāmākua
1569,places,"Punalu'u, O'ahu"
1570,places,"Pana'ewa, Hawai'i"
1571,places,"Waimea, Hawai'i"
1572,places,"Kalihi, O'ahu"
1573,places,"Ka'ala, O'ahu"
1574,places,"Mānoa, O'ahu"
1575,places,"Honolulu, O'ahu"
1576,places,"Kama'oa, Hawai'i"
1577,places,"Lanakila, Maui"
1578,places,"Hana, Maui"
1579,places,"'Ulupālakua, Maui"
1580,places,"Rainbow Falls, Hawai'i"
1581,places,"Kā'anapali, Maui"
1582,places,"Pahoa, Hawai'i"
1583,places,"Kā'anapali, Maui"
1584,places,"Hanalei, Kaua'i"
1585,places,"Pana'ewa, Hawai'i"
1586,places,"Halele'a, Kaua'i"
1587,places,"Puna, Hawai'i"
1588,places,Kawaihae
1589,places,"Moelana, O'ahu"
1590,places,Wai'ale'ale
1591,places,"Waimea, Kaua'i"
1593,places,"Waimea, Hawai'i"
1594,places,"Lāhaina, Maui"
1595,places,"Kaupō, Maui"
1597,places,"Hāmākua, Maui"
1598,places,"Kahalu'u, O'ahu"
1599,places,"Kumaka, Kaua'i"
1601,places,"Nu'uanu, O'ahu"
1602,places,Makawao
1604,places,"Waipi'o, Hawai'i"
1605,places,"Ka'u, Hawai'i"
1607,places,"Hilo, Hawai'i"
1608,places,Kapua
1609,places,"Ka'alu'alu, Hawai'i"
1610,places,"Palahemo, Hawai'i"
1619,places,Pohina
1620,places,"Ka'u, Hawai'i"
1621,places,Wai'ale'ale
1623,places,"Oneawa, O'ahu"
1625,places,"Honolulu, O'ahu"
1625,places,"Lāhaina, Maui"
1628,places,"'Oki'okiaho, Hawai'i"
1635,places,"Kaupō, Maui"
1636,places,"Kāneiahuea, Hawai'i"
1638,places,"Ka'ana, Hawai'i"
1638,places,"Kea'au, Hawai'i"
1638,places,"'Ola'a, Hawai'i"
1642,places,"Halaaniani, Hawai'i"
1642,places,"Kamilo Beach, Hawai'i"
1643,places,"Ka'ala, O'ahu"
1643,places,Wai'anae Mountains
1647,places,Kawaihae
1648,places,"Wailua, Kaua'i"
1649,places,"'Eleile, Maui"
1652,places,"Kewalo, O'ahu"
1653,places,Kīlauea Crater
1653,places,Lehua
1653,places,Ni'ihau
1655,places,"Kawaihapai, O'ahu"
1655,places,Kawaikumu'ole
1657,places,"Māna, Kaua'i"
1658,places,"Wailuku, Hawai'i"
1659,places,Waiohinu
1660,places,"Kawaipapa, Maui"
1661,places,"Helani, Hawai'i"
1662,places,Makaweli Stream
1662,places,"Waimea, Kaua'i"
1662,places,Waimea River
1663,places,"Mokoli'i, O'ahu"
1663,places,Chinaman's Hat
1665,places,"Lanihuli, O'ahu"
1666,places,Kaupe'a
1668,places,"Kea'au, Hawai'i"
1669,places,"Kamaile, Kaua'i"
1669,places,"Nāpali, Kaua'i"
1670,places,Kaunuohua
1672,places,"Nū'alolo, Kaua'i"
1674,places,"Kealakaha, Maui"
1674,places,"Keka'a, Maui"
1674,places,Waiāhole
1675,places,"'A'alaloa, Maui"
1676,places,"Kaluako'i, Moloka'i"
1678,places,"Kamilo Beach, Hawai'i"
1679,places,Haleakalā
1680,places,"Māna, Kaua'i"
1682,places,"Keauhou, Hawai'i"
1683,places,"Keauhou, Hawai'i"
1684,places,"Mahukona, Hawai'i"
1685,places,Kou
1686,places,"Pu'uloa, O'ahu"
1689,places,Pua'ena
1690,places,"Kona, Hawai'i"
1693,places,Hihimanu
1694,places,"Honu'apo, Hawai'i"
1695,places,"Kaleinapueo, Hawai'i"
1695,places,"Manuka, Hawai'i"
1695,places,"Palahemo, Hawai'i"
1698,places,Awalau
1699,places,"Kumukahi, Hawai'i"
1703,places,"Lāhaina, Maui"
1704,places,"Nā'alehu, Hawai'i"
1705,places,Makawao
1706,places,"Kumukahi, Hawai'i"
1707,places,La'a
1707,places,"'Ola'a, Hawai'i"
1708,places,"Kaluako'i, Moloka'i"
1708,places,Ka'ula
1709,places,"'Ohaikea, Hawai'i"
1711,places,"Wailuku, Maui"
1713,places,"'Īoli, Moloka'i"
1714,places,"Ka'ala, O'ahu"
1716,places,"Kekaha, Hawai'i"
1718,places,"Mamala, O'ahu"
1719,places,Kawaihae
1720,places,"Puakea, Hawai'i"
1721,places,"'Ewa, O'ahu"
1721,places,"Pearl Harbor, O'ahu"
1722,places,"Kahului, Maui"
1723,places,Ke'ehi
1724,places,"Makaiwa, Kaua'i"
1725,places,"Pana'ewa, Hawai'i"
1725,places,"Puna, Hawai'i"
1726,places,"Po'o, Kaua'i"
1727,places,"Mokoli'i, O'ahu"
1727,places,Chinaman's Hat
1728,places,"Paikaka, Hawai'i"
1730,places,"Keahole, Hawai'i"
1731,places,"Kona, Hawai'i"
1732,places,"Kalihi, O'ahu"
1732,places,"Pu'uhale, O'ahu"
1734,places,"Kalia, O'ahu"
1735,places,Waiāhole
1736,places,"Kapa'a, Kaua'i"
1742,places,"Kaumaea, Hawai'i"
1742,places,"Paiaha'a, Hawai'i"
1743,places,"Kaumaea, Hawai'i"
1744,places,"Ma'alo, Maui"
1748,places,"Waimea, Hawai'i"
1752,places,"Halali'i, Ni'ihau"
1752,places,Ni'ihau
1755,places,"Kona, Hawai'i"
1756,places,Wai'ale'ale
1758,places,Kahiki
1759,places,"Makaiwa, Kaua'i"
1761,places,"Kama'oma'o, Maui"
1762,places,"Kama'oa, Hawai'i"
1763,places,Lāna'i
1763,places,Maui
1763,places,Moloka'i
1763,places,O'ahu
1766,places,Wai'ōpua
1770,places,"Nānāwale, Hawai'i"
1772,places,"Hawai'i, Kingdom of"
1772,places,O'ahu
1772,places,"Waikīkī, O'ahu"
1773,places,Waiākea
1773,places,"Waiolama, Hawai'i"
1774,places,"Barking Sands, Kaua'i"
1774,places,"Nohili, Kaua'i"
1775,places,Kahamalu'ihi
1775,places,"Kona, Kaua'i"
1775,places,"Māna, Kaua'i"
1775,places,"Waimea, Kaua'i"
1776,places,"'Ewa, O'ahu"
1776,places,"Waikele, O'ahu"
1776,places,"Waikīkī, O'ahu"
1778,places,"Lumaha'i, Kaua'i"
1778,places,"Waimea, O'ahu"
1779,places,"Mo'ohelaia, Moloka'i"
1780,places,"'Ohele, Hawai'i"
1781,places,"'Ī-ao, Maui"
1784,places,"Ka'uiki, Maui"
1784,places,Kealakona
1787,places,"Kaupoku-o-Hanalei, Kaua'i"
1792,places,"Kalena, O'ahu"
1799,places,"Ha'ena, Kaua'i"
1801,places,Kailua
1801,places,"Kāne'ohe, O'ahu"
1805,places,"Hilia, Moloka'i"
1813,places,"Kōhala, Hawai'i"
1814,places,"Kōhala, Hawai'i"
1815,places,"Kōhala, Hawai'i"
1816,places,"Honoke'a, Hawai'i"
1816,places,"Keahualono, Hawai'i"
1816,places,"Kōhala, Hawai'i"
1817,places,"Kanaio, Maui"
1819,places,"Kalae, Hawai'i"
1824,places,"Kula, Maui"
1829,places,Alaska
1829,places,Kahiki
1835,places,"Kealapi'iaka'opae, Moloka'i"
1837,places,Alaka'i
1839,places,"Kona, Hawai'i"
1840,places,"Kona, Hawai'i"
1841,places,"Honua'ino, Hawai'i"
1841,places,"Kona, Hawai'i"
1842,places,"Kona, Hawai'i"
1843,places,"Kona, Hawai'i"
1844,places,"Kona, Hawai'i"
1845,places,"Kawaihoa, O'ahu"
1845,places,Koko Head
1845,places,"Kona, O'ahu"
1845,places,Red Hill
1846,places,"Kona, Hawai'i"
1847,places,"Kona, Hawai'i"
1848,places,"Olowalu, Maui"
1849,places,"Manila, Philippines"
1850,places,"Ko'olau, Maui"
1851,places,"Ko'olau, Maui"
1855,places,"'Ewa, O'ahu"
1858,places,Keahumoa
1865,places,Lele
1872,places,Mamalaka
1885,places,"Hawai'i, Island of"
1887,places,Ka-wai-hu-o-Kauila
1887,places,"Punalu'u, Hawai'i"
1891,places,"Nu'uanu, O'ahu"
1893,places,"Hale-o-Keawe, Hawai'i"
1893,places,"Hōnaunau, Hawai'i"
1897,places,"Kaupō, Maui"
1898,places,"'Apua, Hawai'i"
1902,places,"Kahuwa, Hawai'i"
1905,places,"Kona, Kaua'i"
1908,places,"Māna, Kaua'i"
1909,places,"Māna, Kaua'i"
1911,places,"Kula, Maui"
1919,places,"Polelewa, O'ahu"
1920,places,"Pu'u'enuhe, Hawai'i"
1923,places,Ka'ula
1924,places,Nihoa
1925,places,Weloka
1930,places,"Ke'e, Kaua'i"
1931,places,"Kānehoa, O'ahu"
1935,places,"Ho'olehua, Moloka'i"
1936,places,"Lāhaina, Maui"
1938,places,"La'ie, O'ahu"
1939,places,"Hauola, Maui"
1943,places,Lāna'i
1949,places,"Makana, Kaua'i"
1950,places,"Malama, Hawai'i"
1961,places,Lehua
1962,places,America
1962,places,Maleka
1963,places,"Kukuau, Hawai'i"
1963,places,"Pu'ueo, Hawai'i"
1969,places,"Hanakahi, Hawai'i"
1969,places,"Pana'ewa, Hawai'i"
1972,places,"Mahiki, Hawai'i"
1973,places,"Kōhala, Hawai'i"
1975,places,"Kōhala, Hawai'i"
1976,places,Kona
1976,places,Ko'olau
1981,places,Kahiki
1984,places,"Kapaheo, Hawai'i"
1988,places,"Kōhala, Hawai'i"
1989,places,"Nū'alolo, Kaua'i"
1990,places,"Hana, Maui"
1990,places,"Wailau, Moloka'i"
1991,places,"Līhu'e, O'ahu"
1998,places,"Haua'iliki, Kaua'i"
1999,places,"Hanakahi, Hawai'i"
2000,places,"Ka'ena, O'ahu"
2000,places,"Waialua, O'ahu"
2012,places,'Alio
2012,places,Hauola
2025,places,"Pa'ie'ie, Hawai'i"
2033,places,"Hanakahi, Hawai'i"
2034,places,Alaka'i
2034,places,"Hanalei, Kaua'i"
2038,places,Alaka'i
2040,places,"Mahukona, Hawai'i"
2044,places,Kīlauea Crater
2046,places,"Kona, Hawai'i"
2054,places,'O'okuauli
2058,places,"Kumukahi, Hawai'i"
2058,places,Lehua
2060,places,Kaua'i
